a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,4502.0,0.0,2536.0,0.0,13767.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016728002676480666
5.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,9318.33,3.0,17849.0,914.0,3979.0,35940.0,0.0,9147.67,6095.0,32781.0,0.0,3311.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010053619302949443
5.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,914.0,3979.0,35940.0,0.0,9147.67,6095.0,32781.0,0.0,3311.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033545790003347906
5.0,2.0,5.0,0.0,0.0,10.0,6.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,2028.7,2969.33,35940.0,272.0,8756.75,6095.0,18290.0,9955.0,3311.33,0.0,0.0,0.0,0.0,0.0,0.0006711409395973011
0.0,1.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,272.0,2040.0,0.0,0.0,9955.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013413816230717353
1.0,2.0,1.0,0.0,0.0,8.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3693.38,1467.75,0.0,272.0,3968.5,1333.0,2634.0,9955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023442732752846714
2.0,1.0,1.0,0.0,1.0,8.0,2.0,0.0,553.0,2.0,2.0,2.0,29299.0,3812.12,3619.0,0.0,0.0,4076.0,2229.5,2634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003007016371533574
2.0,2.0,2.0,0.0,2.0,5.0,2.0,0.0,821.0,4.0,2.0,3.0,36415.5,4539.2,3619.0,0.0,0.0,2812.5,2229.5,2255.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003664223850766137
8.0,4.0,4.0,1.0,3.0,9.0,5.0,1.0,0.0,7.0,5.0,5.0,4.0,1.0,7221.25,109.0,35254.67,2990.11,1899.6,30126.0,0.0,3479.14,2836.0,15178.2,7357.25,756.0,0.0,0.0,0.0,0.0,0.0039827414537006636
3.0,2.0,4.0,0.0,2.0,6.0,3.0,0.0,0.0,3.0,4.0,2.0,0.0,1.0,3993.33,2550.33,0.0,0.0,1784.33,2589.0,1484.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004958677685950366
3.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,760.33,540.5,30126.0,0.0,4782.0,3240.33,34562.0,8507.67,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736847
6.0,3.0,1.0,1.0,1.0,7.0,4.0,1.0,0.0,3.0,3.0,2.0,4.0,1.0,7833.0,109.0,32933.0,2210.43,981.0,30126.0,0.0,4368.0,3240.33,34562.0,7357.25,756.0,0.0,0.0,0.0,0.0,0.005562827225130946
1.0,1.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3540.0,0.0,0.0,3906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058574682720468505
2.0,3.0,0.0,0.0,0.0,7.0,3.0,150.0,1033.33,1.0,2.0,1.0,2.0,1389.67,0.0,0.0,4360.0,2689.0,5435.0,3306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005823358136525387
4.0,1.0,0.0,0.0,0.0,6.0,3.0,220.25,971.0,1.0,2.0,1.0,3.0,1618.67,0.0,0.0,4360.0,2689.0,5435.0,3804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061112898037954735
11.0,1.0,1.0,0.0,0.0,3.0,2.0,9.0,2.0,9.0,4.0,3.0,4.0,3.0,0.0,0.0,2208.0,2584.5,7653.11,694.5,7442.33,1249.5,13816.33,5306.75,1303.0,0.0,0.0,0.0,0.0,0.0,0.0063938618925830975
5.0,2.0,1.0,0.0,0.0,5.0,3.0,6.0,2.0,7.0,6.0,3.0,5.0,4.0,0.0,0.0,2082.6,2870.67,5553.67,694.5,8941.57,2119.67,15887.0,4459.0,2927.25,0.0,0.0,0.0,0.0,0.0,0.006035578144853916
4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,7.0,1.0,4.0,2.0,0.0,1006.0,880.0,4846.0,0.0,6230.67,2360.43,8354.0,6456.5,4911.5,0.0,0.0,0.0,0.0,0.0,0.0,0.005999368487527556
4.0,1.0,2.0,0.0,2.0,3.0,2.0,5.0,1.0,3.0,10.0,1.0,5.0,4.0,8512.5,0.0,31694.0,1624.33,1075.5,5179.4,1052.0,6230.67,2406.3,8354.0,6411.6,3551.75,0.0,0.0,0.0,0.0,0.00596359070935335
1.0,1.0,0.0,0.0,0.0,0.0,1.0,939.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,1613.25,8354.0,4983.67,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005616224648985951
7.0,2.0,4.0,1.0,3.0,5.0,7.0,4.0,2.0,6.0,13.0,2.0,10.0,7.0,777.0,10565.25,28.0,26903.33,1768.0,1660.43,9741.25,1237.5,4566.17,2098.31,7182.0,6235.2,2152.86,0.0,0.0,0.0,0.004964318957493134
4.0,0.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,5.0,1.0,5.0,2.0,28.0,0.0,2668.0,2238.75,10817.33,1423.0,4474.75,2331.4,6010.0,4360.0,697.0,0.0,0.0,0.0,0.0,0.0,0.004939796233405266
