,Fecha,Encuestadora,Muestra,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Otros,Blanco,Indecisos,Ventaja,Inicio,Final
37,18 - 21 de agosto de 2023,Analogías[34]​,2523,26.8,20.9,32.1,3.2,4.9,0.0,2.3,9.9,5.3,2023-08-18,2023-08-21
38,16 - 18 de agosto de 2023,DC Consultores[35]​,2100,23.1,24.7,34.0,0.0,0.0,0.0,2.4,15.8,9.3,2023-08-16,2023-08-18
39,16 - 17 de agosto de 2023,OPSA[36]​,4623,32.3,23.7,38.5,3.2,2.3,0.0,0.0,0.0,6.2,2023-08-16,2023-08-17
40,14 - 16 de agosto de 2023,CB Consultora[37]​,4340,28.1,25.3,32.3,3.8,1.8,0.0,3.2,5.4,4.2,2023-08-14,2023-08-16
41,13 de agosto de 2023,Elecciones primarias,24625774,27.28,28.0,29.86,3.71,2.61,3.04,5.51,0.0,1.86,2023-08-13,2023-08-13
42,31 de julio - 4 de agosto de 2023,Atlas Intel[38]​,9517,30.8,31.9,20.8,4.4,3.4,2.9,2.4,3.5,1.1,2023-07-31,2023-08-04
43,31 de julio - 3 de agosto de 2023,Federico González & Asociados[39]​,2400,30.1,36.4,19.5,3.2,2.5,5.0,3.1,0.0,6.3,2023-07-31,2023-08-03
44,25 de julio - 2 de agosto de 2023,Opina Argentina[40]​,1404,31.0,32.0,20.0,3.0,4.0,2.0,3.0,5.0,1.0,2023-07-25,2023-08-02
45,25 de julio - 2 de agosto de 2023,Opinaia[41]​,2000,21.0,30.0,22.0,4.0,3.0,6.0,5.0,7.0,8.0,2023-07-25,2023-08-02
46,1 de agosto de 2023,Opinión Pública Servicios y Mercados[42]​,1200,29.9,35.6,17.5,2.8,5.4,1.6,0.0,5.0,5.7,2023-08-01,2023-08-01
47,24 - 31 de julio de 2023,Giacobbe & Asociados[42]​,2500,32.2,38.0,18.8,2.6,2.6,1.9,3.9,0.0,5.8,2023-07-24,2023-07-31
48,24 - 31 de julio de 2023,Proyección Consultores[43]​[44]​,2130,31.1,34.3,19.1,2.4,2.2,3.7,7.2,0.0,3.2,2023-07-24,2023-07-31
49,25 - 29 de julio de 2023,CB Consultora[45]​,1985,30.4,33.0,20.3,4.9,1.5,3.9,2.5,3.5,2.6,2023-07-25,2023-07-29
50,24 - 29 de julio de 2023,CIGP[46]​,1602,31.2,36.5,13.8,0.0,2.8,5.2,4.1,6.4,5.3,2023-07-24,2023-07-29
51,22 - 29 de julio de 2023,Hugo Haime Consultora[47]​,0,32.1,32.5,22.0,4.3,2.4,0.2,3.6,2.2,0.4,2023-07-22,2023-07-29
52,22 - 29 de julio de 2023,Hugo Haime Consultora[47]​,0,32.8,28.1,23.3,4.2,3.3,0.0,5.7,2.3,4.7,2023-07-22,2023-07-29
53,22 - 29 de julio de 2023,Hugo Haime Consultora[47]​,0,32.3,27.8,24.4,5.4,2.5,0.0,5.7,1.5,5.5,2023-07-22,2023-07-29
54,25 - 27 de julio de 2023,Circuitos[48]​,2180,30.1,34.8,16.7,1.9,3.7,4.0,0.0,8.8,4.7,2023-07-25,2023-07-27
55,12 - 27 de julio de 2023,Management & Fit[49]​,1800,31.7,34.7,17.0,6.6,4.4,1.2,0.7,2.9,3.0,2023-07-12,2023-07-27
56,23 de julio de 2023,CEOP[50]​,1167,28.5,30.3,19.1,0.8,1.6,0.5,3.3,12.1,1.8,2023-07-23,2023-07-23
57,20 - 25 de julio de 2023,Políticos en Redes[45]​,2237,25.2,31.2,23.0,1.8,2.5,3.2,3.3,9.8,6.0,2023-07-20,2023-07-25
58,17 - 21 de julio de 2023,Federico González & Asociados[51]​,2400,28.0,34.2,17.7,3.2,2.4,4.2,1.9,8.4,6.2,2023-07-17,2023-07-21
59,14 - 21 de julio de 2023,Nueva Comunicación[52]​,1780,28.0,29.0,19.0,3.0,4.0,1.0,6.0,10.0,1.0,2023-07-14,2023-07-21
60,12 - 21 de julio de 2023,UdeSA[53]​,1003,20.7,23.7,15.9,6.0,4.4,0.0,5.8,23.5,3.0,2023-07-12,2023-07-21
61,12 - 21 de julio de 2023,UdeSA[53]​,1003,20.6,18.5,18.5,6.0,4.4,0.0,5.7,26.1,2.1,2023-07-12,2023-07-21
62,12 - 21 de julio de 2023,UdeSA[53]​,1003,19.0,23.0,12.0,3.0,4.0,3.0,5.0,33.0,4.0,2023-07-12,2023-07-21
63,15 - 19 de julio de 2023,Atlas Intel[54]​,4848,33.8,33.8,20.1,3.4,2.6,1.0,0.9,3.0,0.0,2023-07-15,2023-07-19
64,15 - 19 de julio de 2023,Atlas Intel[54]​,4848,32.4,29.0,23.4,4.2,4.3,0.0,2.6,3.5,3.4,2023-07-15,2023-07-19
65,15 - 19 de julio de 2023,Atlas Intel[54]​,4848,31.9,23.5,25.2,4.1,4.1,0.0,3.4,4.2,6.7,2023-07-15,2023-07-19
66,5 - 18 de julio de 2023,Opinaia[55]​,2000,22.0,30.0,22.0,4.0,4.0,6.0,5.0,7.0,8.0,2023-07-05,2023-07-18
67,8 - 12 de julio de 2023,UNLaM[56]​,2510,31.4,33.9,18.1,1.3,2.0,1.1,4.1,8.1,2.5,2023-07-08,2023-07-12
68,5 - 12 de julio de 2023,Equipo_Mide[45]​,2236,27.0,33.0,26.0,3.0,2.0,4.0,0.0,5.0,6.0,2023-07-05,2023-07-12
69,4 - 11 de julio de 2023,Taquion[57]​,2419,25.1,29.5,18.0,3.0,2.3,9.9,8.7,3.6,4.4,2023-07-04,2023-07-11
70,7 de julio de 2023,Patagonia[58]​,0,32.3,32.7,15.8,3.7,5.9,7.5,0.0,2.1,0.4,2023-07-07,2023-07-07
71,4 - 7 de julio de 2023,IPD[59]​,1600,32.0,36.0,17.0,1.0,4.0,1.0,3.0,6.0,4.0,2023-07-04,2023-07-07
72,28 de junio - 7 de julio de 2023,Opina Argentina[60]​,1404,29.0,30.0,22.0,3.0,4.0,1.0,3.0,7.0,1.0,2023-06-28,2023-07-07
73,6 de julio de 2023,Federico González & Asociados[61]​,2400,28.8,33.8,17.1,1.9,3.4,5.2,2.9,6.9,5.0,2023-07-06,2023-07-06
