,Fecha,Encuestadora,Muestra,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Otros,Blanco,Indecisos,Ventaja,Inicio,Final
164,18 - 27 de febrero de 2023,Opina Argentina[126]​,1250,27.0,27.0,24.0,5.0,4.0,0.0,5.0,8.0,0.0,2023-02-18,2023-02-27
165,18 - 27 de febrero de 2023,Opina Argentina[126]​,1250,28.0,32.0,22.0,3.0,4.0,1.0,2.0,7.0,4.0,2023-02-18,2023-02-27
166,12 - 17 de febrero de 2023,IPD[127]​,1004,27.0,31.0,18.0,7.0,5.0,0.0,0.0,9.0,4.0,2023-02-12,2023-02-17
167,10 - 16 de febrero de 2023,Solmoirago[128]​,2200,29.9,40.6,18.0,0.0,2.7,0.0,0.0,8.7,10.7,2023-02-10,2023-02-16
168,10 - 16 de febrero de 2023,Solmoirago[128]​,2200,26.6,29.9,14.2,0.0,2.5,0.0,0.0,27.0,3.3,2023-02-10,2023-02-16
169,6 - 10 de febrero de 2023,CIGP[129]​,2408,25.6,30.8,10.8,0.0,0.0,5.4,12.7,9.6,5.2,2023-02-06,2023-02-10
170,5 - 7 de febrero de 2023,Opinaia[130]​,1100,24.0,27.0,24.0,4.0,3.0,0.0,0.0,18.0,3.0,2023-02-05,2023-02-07
171,2 - 5 de febrero de 2023,Opina Argentina[131]​,1100,26.0,33.0,19.0,0.0,3.0,5.0,4.0,11.0,7.0,2023-02-02,2023-02-05
172,23 de enero - 3 de febrero de 2023,Opinaia[132]​,2000,24.0,31.0,24.0,3.0,2.0,0.0,0.0,16.0,7.0,2023-01-23,2023-02-03
173,16 - 22 de enero de 2023,Zuban Córdoba & Asociados[133]​,1300,30.3,23.0,23.2,4.8,0.0,7.9,0.0,10.8,7.1,2023-01-16,2023-01-22
174,19 de enero de 2023,Aresco[134]​,4000,25.4,28.6,22.3,5.2,4.0,4.3,3.7,6.5,3.2,2023-01-19,2023-01-19
175,19 de enero de 2023,Aresco[134]​,4000,29.8,29.5,18.8,5.3,2.8,5.8,3.5,4.5,0.3,2023-01-19,2023-01-19
176,11 - 17 de enero de 2023,Solmoirago[135]​,2200,29.1,37.3,19.5,0.0,1.8,0.0,0.0,12.3,8.2,2023-01-11,2023-01-17
177,11 - 17 de enero de 2023,Solmoirago[135]​,2200,29.3,41.1,18.1,0.0,2.8,0.0,0.0,8.7,11.8,2023-01-11,2023-01-17
178,15 - 16 de enero de 2023,Federico González & Asociados[136]​,1700,26.9,30.5,20.3,2.8,3.6,1.6,3.2,11.6,3.6,2023-01-15,2023-01-16
179,15 - 16 de enero de 2023,Federico González & Asociados[136]​,1700,25.6,29.2,22.4,2.9,3.5,1.6,3.6,11.2,3.6,2023-01-15,2023-01-16
180,6 - 11 de enero de 2023,Synopsis[137]​,1794,29.5,37.7,21.3,0.0,2.9,4.1,0.0,4.6,8.2,2023-01-06,2023-01-11
181,25 de diciembre de 2022 - 6 de enero de 2023,Opinaia[138]​,2000,25.0,32.0,22.0,4.0,2.0,0.0,0.0,15.0,7.0,2022-12-25,2023-01-06
182,26 de diciembre de 2022 - 3 de enero de 2023,Raúl Aragón & Asociados[139]​,1500,24.8,29.1,18.3,0.0,3.7,7.3,8.1,8.7,4.3,2022-12-26,2023-01-03
183,26 de diciembre de 2022 - 3 de enero de 2023,Raúl Aragón & Asociados[139]​,1500,23.5,34.3,17.2,0.0,3.3,7.8,6.8,7.1,10.8,2022-12-26,2023-01-03
