Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
29.89,31.03,29.89,4.6,4.6,2023-05-09,2023-05-20
30.77,28.21,34.07,2.93,4.03,2023-05-12,2023-05-19
28.83,37.19,27.57,2.63,3.78,2023-05-12,2023-05-19
29.23,37.81,27.2,2.48,3.27,2023-05-12,2023-05-19
26.57,37.0,29.48,4.48,2.47,2023-05-08,2023-05-13
28.94,30.82,29.65,6.47,4.12,2023-05-06,2023-05-13
29.82,31.38,20.48,12.81,5.51,2023-05-06,2023-05-13
29.1,27.42,32.66,6.91,3.9,2023-04-17,2023-05-07
30.59,37.65,25.88,3.53,2.35,2023-04-27,2023-04-30
28.75,33.75,32.5,2.5,2.5,2023-04-22,2023-04-30
32.72,25.09,31.98,6.89,3.32,2023-04-11,2023-04-16
34.18,29.2,26.76,6.93,2.92,2023-04-11,2023-04-16
36.77,30.32,23.23,6.06,3.61,2023-04-11,2023-04-16
28.15,31.59,31.47,4.28,4.51,2023-04-07,2023-04-15
33.59,33.37,27.88,2.46,2.69,2023-04-07,2023-04-15
27.4,33.77,19.95,12.98,5.89,2023-04-07,2023-04-15
31.76,31.76,27.06,5.88,3.53,2023-04-05,2023-04-15
32.5,30.0,31.25,0.0,6.25,2023-04-10,2023-04-14
31.25,35.0,33.75,0.0,0.0,2023-04-10,2023-04-14
29.9,34.13,28.93,2.93,4.12,2023-04-02,2023-04-14
29.54,30.77,27.09,7.58,5.02,2023-02-27,2023-04-13
31.85,30.41,26.53,6.99,4.22,2023-02-27,2023-04-13
33.52,28.93,25.87,7.42,4.26,2023-02-27,2023-04-13
25.75,36.22,29.24,5.78,3.01,2023-04-05,2023-04-09
32.9,42.76,22.92,0.0,1.43,2023-04-02,2023-04-04
34.56,42.17,22.0,0.0,1.27,2023-04-02,2023-04-04
31.58,39.47,19.05,5.76,4.14,2023-03-27,2023-03-29
29.29,34.29,18.27,11.51,6.63,2023-03-08,2023-03-16
36.46,40.77,22.76,0.0,0.0,2023-02-01,2023-02-01
33.86,36.87,29.27,0.0,0.0,2023-02-14,2023-02-28
31.03,31.03,27.59,5.75,4.6,2023-02-18,2023-02-27
31.46,35.96,24.72,3.37,4.49,2023-02-18,2023-02-27
30.68,35.23,20.45,7.95,5.68,2023-02-12,2023-02-17
32.79,44.52,19.74,0.0,2.96,2023-02-10,2023-02-16
29.27,32.93,29.27,4.88,3.66,2023-02-05,2023-02-07
32.1,40.74,23.46,0.0,3.7,2023-02-02,2023-02-05
28.57,36.9,28.57,3.57,2.38,2023-01-23,2023-02-03
37.27,28.29,28.54,5.9,0.0,2023-01-16,2023-01-22
29.71,33.45,26.08,6.08,4.68,2023-01-19,2023-01-19
34.57,34.22,21.81,6.15,3.25,2023-01-19,2023-01-19
33.18,42.53,22.23,0.0,2.05,2023-01-11,2023-01-17
32.09,45.02,19.82,0.0,3.07,2023-01-11,2023-01-17
31.99,36.27,24.14,3.33,4.28,2023-01-15,2023-01-16
30.62,34.93,26.79,3.47,4.19,2023-01-15,2023-01-16
32.28,41.25,23.3,0.0,3.17,2023-01-06,2023-01-11
29.41,37.65,25.88,4.71,2.35,2022-12-25,2023-01-06
32.67,38.34,24.11,0.0,4.87,2022-12-26,2023-01-03
30.01,43.81,21.97,0.0,4.21,2022-12-26,2023-01-03
