,a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
62,0.0,3.0,4.0,0.0,0.0,5.0,10.0,5.0,2.0,2.0,8.0,6.0,7.0,2.0,2.0,0.0,17788.8,9854.6,14598.2,17384.5,5863.5,10444.75,43504.333333333336,17033.0,2588.5,1576.5,0.0,0.0,0.0,0.0,0.027113237639553475
63,1.0,0.0,2.0,0.0,0.0,15.0,9.0,1.0,3.0,4.0,13.0,3.0,1.0,6.0,1.0,0.0,19215.8,15166.444444444445,6320.0,3235.6666666666665,6732.25,10410.461538461539,42692.333333333336,6752.0,1678.5,1771.0,0.0,0.0,0.0,0.0,0.02515527950310544
64,2.0,2.0,5.0,0.0,0.0,12.0,26.0,5.0,2.0,7.0,25.0,10.0,12.0,8.0,1.0,0.0,0.0,12706.083333333334,6490.884615384615,12133.6,2426.5,4585.571428571428,7361.4,39175.9,11447.75,13669.75,257.0,0.0,0.0,0.0,0.023326264768252142
65,2.0,2.0,5.0,0.0,0.0,12.0,27.0,8.0,3.0,7.0,25.0,10.0,14.0,10.0,1.0,0.0,0.0,12706.083333333334,6376.962962962963,12034.75,1685.3333333333333,4585.571428571428,7361.4,39175.9,13663.5,11538.1,257.0,0.0,0.0,0.0,0.02101835405565426
66,3.0,0.0,3.0,1.0,1.0,14.0,12.0,12.0,3.0,2.0,14.0,1.0,13.0,7.0,2.0,10044.0,1856.0,13107.0,4967.785714285715,6844.083333333333,9484.833333333334,226.33333333333334,1343.0,6248.857142857143,32736.0,11285.307692307691,3703.5714285714284,284.5,0.0,0.0,0.018846042331110424
67,13.0,1.0,6.0,2.0,1.0,46.0,77.0,31.0,16.0,15.0,58.0,20.0,44.0,11.0,7.0,390.0,9336.333333333334,1042.5,13107.0,8707.652173913044,5140.519480519481,8889.838709677419,1903.875,5737.133333333333,4553.172413793103,28133.0,9765.272727272728,1940.8181818181818,617.4285714285714,0.0,0.030734206033010764
68,3.0,0.0,0.0,1.0,1.0,10.0,10.0,3.0,2.0,2.0,3.0,3.0,7.0,3.0,1.0,1856.0,13107.0,9347.0,6285.4,12165.333333333334,2096.5,3910.5,5474.0,25139.333333333332,14021.0,1458.6666666666667,914.0,0.0,0.0,0.0,0.011595803423522963
69,2.0,1.0,2.0,0.0,0.0,16.0,29.0,11.0,11.0,9.0,14.0,11.0,20.0,3.0,3.0,0.0,0.0,9361.4375,5522.241379310345,7656.454545454545,2530.818181818182,5538.111111111111,3266.6428571428573,30115.272727272728,12179.45,1458.6666666666667,621.3333333333334,0.0,0.0,0.0,0.00873362445414848
70,0.0,1.0,1.0,0.0,0.0,5.0,8.0,1.0,4.0,2.0,6.0,4.0,6.0,0.0,1.0,12056.4,4279.25,2436.0,3760.75,6026.0,1982.5,20534.25,10534.333333333334,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.006222943722943638
71,8.0,0.0,4.0,0.0,0.0,20.0,35.0,12.0,3.0,4.0,30.0,8.0,13.0,4.0,3.0,0.0,10499.6,4690.0,8405.5,736.0,4699.25,4142.0,23450.875,7732.384615384615,661.25,715.3333333333334,0.0,0.0,0.0,0.0,0.0034955633234741213
72,9.0,0.0,4.0,1.0,0.0,19.0,40.0,13.0,4.0,2.0,34.0,9.0,16.0,6.0,3.0,229.0,0.0,9524.052631578947,4662.15,8952.0,616.75,10138.0,4600.882352941177,25710.222222222223,7091.5,794.0,715.3333333333334,0.0,0.0,0.0,0.000803858520900352
73,11.0,2.0,7.0,2.0,0.0,27.0,45.0,17.0,6.0,5.0,35.0,17.0,13.0,5.0,7073.142857142857,2797.5,0.0,8143.888888888889,5753.511111111111,9166.588235294117,997.1666666666666,9143.4,4693.028571428571,27849.235294117647,9607.0,1312.2,0.0,0.0,0.0,0.0,-0.00187416331994646
74,4.0,0.0,1.0,1.0,0.0,7.0,15.0,9.0,4.0,2.0,13.0,3.0,7.0,3.0,229.0,0.0,12454.142857142857,4335.0,10928.888888888889,754.5,16587.5,4626.615384615385,40773.666666666664,5514.285714285715,1906.0,0.0,0.0,0.0,0.0,0.0,-0.004291845493562331
75,4.0,2.0,3.0,1.0,0.0,12.0,20.0,8.0,2.0,4.0,12.0,12.0,5.0,1.0,5214.0,5366.0,0.0,7088.083333333333,6492.15,7777.875,1758.0,6399.5,3892.6666666666665,25260.416666666668,16258.8,3599.0,0.0,0.0,0.0,0.0,-0.006465517241379173
76,7.0,2.0,4.0,2.0,0.0,15.0,29.0,14.0,3.0,6.0,24.0,14.0,16.0,7.0,8430.75,2698.0,0.0,6351.4,5977.551724137931,8131.071428571428,1335.0,5318.333333333333,3440.375,27003.785714285714,10815.75,2454.1428571428573,0.0,0.0,0.0,0.0,-0.008676789587852502
77,2.0,0.0,1.0,1.0,0.0,4.0,8.0,9.0,0.0,2.0,9.0,3.0,11.0,5.0,0.0,9480.25,3162.0,7913.222222222223,0.0,8452.5,2678.1111111111113,29500.0,8454.545454545454,1665.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.010393873085339237
78,16.0,5.0,15.0,5.0,0.0,24.0,25.0,8.0,8.0,15.0,16.0,11.0,16.0,57.0,1.0,13196.2,1124.4,0.0,7950.625,4457.16,10818.25,1019.75,5585.866666666667,5250.625,24898.0,7966.0,1937.9298245614036,1262.0,0.0,0.0,-0.011608623548922104
79,18.0,4.0,14.0,0.0,0.0,22.0,19.0,8.0,5.0,16.0,13.0,11.0,10.0,45.0,3.0,0.0,0.0,9620.772727272728,5066.315789473684,11446.25,1359.2,6336.5,6410.461538461538,24705.909090909092,7833.8,1657.111111111111,813.3333333333334,0.0,0.0,0.0,-0.024608501118568108
80,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,5.0,0.0,1.0,3.0,1.0,0.0,1574.0,3103.0,5762.0,0.0,2162.0,637.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02092889908256892
81,13.0,2.0,4.0,0.0,0.0,18.0,24.0,6.0,1.0,13.0,20.0,5.0,12.0,28.0,3.0,0.0,0.0,5533.333333333333,7737.541666666667,7667.0,1574.0,4359.846153846154,6625.3,40626.8,9526.166666666666,576.8214285714286,452.0,0.0,0.0,0.0,-0.00585651537335273
82,10.0,2.0,22.0,0.0,1.0,15.0,27.0,19.0,2.0,11.0,17.0,10.0,10.0,51.0,2.0,8485.772727272728,0.0,67286.0,6249.2,3659.6666666666665,6064.736842105263,512.0,8438.363636363636,3329.823529411765,20129.4,8311.1,1641.0196078431372,504.0,0.0,0.0,0.019734904270986585
