Nombre_partido,Cantidad_votos,total_votantes,tipo,anio
CAMBIEMOS                                                                                           ,12903301,25101742,BALLOTAGE,2015
FRENTE PARA LA VICTORIA                                                                             ,12198441,25101742,BALLOTAGE,2015
