Nombre_partido,Cantidad_votos,total_votantes,tipo,anio
Alianza Frente para la Victoria                                                                     ,11593023,21484844,GENERALES,2011
Alianza Frente Amplio Progresista                                                                   ,3624518,21484844,GENERALES,2011
Alianza Unión para el Desarrollo Social                                                             ,2395056,21484844,GENERALES,2011
Alianza Compromiso Federal                                                                          ,1714385,21484844,GENERALES,2011
Alianza Frente Popular                                                                              ,1264609,21484844,GENERALES,2011
Alianza Frente de Izquierda y de los Trabajadores                                                   ,497082,21484844,GENERALES,2011
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,396171,21484844,GENERALES,2011
