Nombre_partido,Cantidad_votos,total_votantes,tipo,anio
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,9002242,24420841,GENERALES,2015
ALIANZA CAMBIEMOS                                                                                   ,8382610,24420841,GENERALES,2015
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,5211705,24420841,GENERALES,2015
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,798031,24420841,GENERALES,2015
ALIANZA PROGRESISTAS                                                                                ,619051,24420841,GENERALES,2015
ALIANZA COMPROMISO FEDERAL                                                                          ,407202,24420841,GENERALES,2015
