Nombre_partido,Cantidad_votos,total_votantes,tipo,anio
ALIANZA FRENTE PARA LA VICTORIA,10540703,21056346,PASO,2011
ALIANZA FRENTE POPULAR,2565297,21056346,PASO,2011
ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,2561935,21056346,PASO,2011
ALIANZA FRENTE AMPLIO PROGRESISTA,2149595,21056346,PASO,2011
ALIANZA COMPROMISO FEDERAL,1721629,21056346,PASO,2011
COALICION CIVICA ARI,682723,21056346,PASO,2011
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,521831,21056346,PASO,2011
ALIANZA PROYECTO SUR,190438,21056346,PASO,2011
MOVIMIENTO DE ACCION VECINAL,70568,21056346,PASO,2011
DEL CAMPO POPULAR,51627,21056346,PASO,2011
