,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.50708802541097,0.047006352087743834,0.8428616523742676,0.061107909858080935,10,0.0005,"{'epochs': 10, 'optimizer__learning_rate': 0.0005}",-16.82806954323261,-3.578198997919384,-4.2121738689785335,-8.20614747004351,6.102110903143418,400
1,4.379565954208374,0.04902361687668218,0.8452746868133545,0.01950386811020213,10,0.005736842105263158,"{'epochs': 10, 'optimizer__learning_rate': 0.005736842105263158}",-4.903378220904942,-3.855087898686128,-4.612874880772654,-4.457113666787908,0.44190822331558677,391
2,4.1282187302907305,0.6955514608131034,0.8336871465047201,0.10249659111144152,10,0.010973684210526316,"{'epochs': 10, 'optimizer__learning_rate': 0.010973684210526316}",-16.89114440345641,-3.4782083428008406,-3.0352481217345595,-7.8015336226639365,6.429868922929707,398
3,3.5666939417521157,0.16704285413840633,0.5987078348795573,0.09285472403561394,10,0.016210526315789474,"{'epochs': 10, 'optimizer__learning_rate': 0.016210526315789474}",-3.0220213393357853,-3.374981014779457,-4.040620244570325,-3.4792075328951895,0.42232160552920467,383
4,3.6788035233815513,0.21458928956137208,0.5869084993998209,0.04646735441365845,10,0.02144736842105263,"{'epochs': 10, 'optimizer__learning_rate': 0.02144736842105263}",-3.8646782465551306,-4.057345992691708,-3.066982443198746,-3.6630022274818614,0.4287267214617457,385
5,3.277398188908895,0.1679358607329111,0.7062475681304932,0.1856764965478109,10,0.02668421052631579,"{'epochs': 10, 'optimizer__learning_rate': 0.02668421052631579}",-13.797570328447033,-3.6309018238550843,-3.6594460385028276,-7.0293060636016484,4.785899745581441,396
6,3.4316503206888833,0.2675943238768437,0.6072973410288492,0.05341704406672042,10,0.03192105263157895,"{'epochs': 10, 'optimizer__learning_rate': 0.03192105263157895}",-3.209360354389098,-9.264764837316523,-3.8116999320071754,-5.428608374570932,2.7236954732727683,393
7,3.6708641052246094,0.07293109032455343,0.5496606826782227,0.035829161006468664,10,0.037157894736842105,"{'epochs': 10, 'optimizer__learning_rate': 0.037157894736842105}",-3.844359580717594,-15.265587171570896,-3.5666058001982583,-7.558850850828915,5.45066511713515,397
8,2.9149656295776367,0.10160212349166106,0.5947163105010986,0.020293865582765268,10,0.04239473684210526,"{'epochs': 10, 'optimizer__learning_rate': 0.04239473684210526}",-10.798230987513074,-4.432544591051755,-2.670572837866141,-5.967116138810323,3.49102555378532,394
9,3.142296314239502,0.1912291253137099,0.56987198193868,0.0980065156575899,10,0.04763157894736842,"{'epochs': 10, 'optimizer__learning_rate': 0.04763157894736842}",-2.8290421695314616,-11.747289491519997,-3.8555550918117056,-6.143962250954388,3.9842514410740133,395
10,3.166478157043457,0.20771512445742177,0.49736785888671875,0.07363438882588288,10,0.05286842105263158,"{'epochs': 10, 'optimizer__learning_rate': 0.05286842105263158}",-3.3368740620398314,-6.77666002698835,-3.039688087865252,-4.384407392297811,1.695923421413713,390
11,2.9839841524759927,0.04494741163428144,0.5807193120320638,0.04501647240180837,10,0.058105263157894736,"{'epochs': 10, 'optimizer__learning_rate': 0.058105263157894736}",-3.399481033066573,-3.7579740216486,-4.011288870228684,-3.7229146416479524,0.2509967828449434,387
12,3.0619897842407227,0.0729770633698955,0.5631272792816162,0.024909831227871434,10,0.0633421052631579,"{'epochs': 10, 'optimizer__learning_rate': 0.0633421052631579}",-3.058854602659324,-3.229602795034853,-3.731406285038267,-3.3399545609108148,0.2854406833204218,381
13,3.2309330304463706,0.0604990200825296,0.6198683579762777,0.04092955261573594,10,0.06857894736842104,"{'epochs': 10, 'optimizer__learning_rate': 0.06857894736842104}",-3.1122159367626088,-4.16080470589564,-3.4443874535979058,-3.572469365418718,0.43756015494233275,384
14,3.1794419288635254,0.1267844073859361,0.6733732223510742,0.051275361583209264,10,0.07381578947368421,"{'epochs': 10, 'optimizer__learning_rate': 0.07381578947368421}",-3.6402654201814864,-6.223930725292609,-4.102926409349773,-4.655707518274624,1.1248723832793592,392
15,3.39250381787618,0.03368773991794452,0.5757197539011637,0.05660525690027215,10,0.07905263157894737,"{'epochs': 10, 'optimizer__learning_rate': 0.07905263157894737}",-3.2315234831158293,-3.634812078424511,-4.222578740790402,-3.6963047674435807,0.40692640124327184,386
16,3.045210043589274,0.015406310878073273,0.6284671624501547,0.04989407494474792,10,0.08428947368421053,"{'epochs': 10, 'optimizer__learning_rate': 0.08428947368421053}",-3.5820037822217516,-3.4611933603652405,-16.95840866782839,-8.000535270138462,6.334365037701779,399
17,3.177786111831665,0.051794529641984575,0.5155501365661621,0.011471338744697971,10,0.08952631578947368,"{'epochs': 10, 'optimizer__learning_rate': 0.08952631578947368}",-2.889076756223692,-3.372640513441469,-6.6213860708398755,-4.294367780168345,1.6572505484815365,389
